97,44,0,0,0,ALL,BREAKY,12345678
3,5,0,14,4,0,1,0,ALL,A
4,15,0,47,7,0,0,0,ALL,B
5,0,1,25,44,0,1,0,ALL,C
7,45,0,53,39,0,1,0,ALL,D
10,0,6,35,59,5,1,0,ALL,E
11,45,0,49,39,0,1,0,ALL,F
12,0,8,10,44,7,1,0,ALL,G
14,45,0,14,28,0,0,0,ALL,H
15,0,8,58,52,7,1,0,ALL,U
16,1,0,-25,-24,0,1,0,ALL,J
17,12,0,11,8,0,1,0,ALL,K
18,0,7,12,56,6,1,0,ALL,L
19,4,0,34,3,0,0,0,ALL,M
20,10,0,34,0,0,1,0,ALL,N
21,0,4,1,55,3,1,0,ALL,O
22,4,0,-19,-29,0,0,0,ALL,P
23,5,0,-2,-33,0,1,0,ALL,Q
24,45,0,8,42,0,0,0,ALL,R
25,1,0,-20,-1,0,1,0,ALL,S
26,4,0,40,1,0,0,0,ALL,T
28,8,0,37,7,0,0,0,ALL,I
31,8,0,46,2,0,1,0,ALL,V
35,55,0,32,48,0,1,0,ALL,W
36,8,0,45,4,0,0,1,ALL,X
37,8,0,38,1,0,1,0,ALL,Y
38,3,69,48,53,68,1,0,ALL,Z
39,3,0,-17,-42,0,1,0,ALL,AA
40,1,0,-29,-1,0,1,0,ALL,BB
41,1,0,-5,-22,0,1,0,ALL,CC
42,8,0,5,7,0,0,0,ALL,DD
44,45,0,51,38,0,0,0,ALL,EE
46,8,0,47,3,0,1,0,ALL,FF
47,9,0,34,8,0,1,0,ALL,GG
48,5,0,-45,-27,0,1,0,ALL,HH
49,2,0,58,1,0,0,0,ALL,II
51,5,0,-26,-52,0,1,0,ALL,JJ
52,5,0,25,3,0,0,0,ALL,KK
54,4,0,0,-4,0,0,0,ALL,LL
55,1,0,-45,-1,0,0,0,ALL,MM
66,5,0,33,1,0,1,0,ALL,NN
77,10,0,-7,-39,0,1,0,ALL,OO
93,0,24,29,59,23,0,0,ALL,PP
94,5,0,49,4,0,0,1,ALL,QQ
96,0,840,31,59,839,0,0,ALL,RR
